text,label
i feel that im caught between the dull and drab cubicle world of bau and the dull and drab powered down world of being a stoic neo dickensian peasant as portrayed in greers long descent,0
i went from a life of constant motion and craving exercise to feel vital energized and sane to a life of napping and sitting on the couch all day,1
i need is to feel teeth on my gentle areas when a or is on the menu,2
i haven t lost any more however i have maintained my loss thus far which is a reason to keep on feeling determined,1
i just feel absolutely rotten and so incredibly exhausted,0
im feeling a little shaky and blue almost as if im going through withdrawal,4
i feel helpless for him,0
im always polite to my customers thats my rule no matter what they say to you you still have to be polite unless you feel like then your being threatened then it game on,4
i feel so honoured to firstly be wearing her rings now but even more so to have received her eternity ring also,1
i have been involved with horticulture from a young age i feel strongly about supporting perennial and letting other gardeners know about the valuable work the charity does in helping people in our trade when they need it,1
i feel my creative juices flowing,1
i didnt feel surprised,5
i feel so homesick to be there again and be me,0
i know there are rude people all year but i feel like they up their rude factor this time of year,3
i have a feeling that on graduation night i will be really glad that i managed to survive this experience and i ll be happy it was with these people that i did it,1
i toiled over this essay but my professor is a challenging grader and even with my best foot forward i might get a b if shes feeling especially generous,1
i hate being broke and i hate feeling whiney,0
i forced myself to do punishing exercise which i didnt enjoy in itself and it made me feel so humiliated,0
i feel like being spiteful of dee,3
im feeling depressed about the whole thing,0
i feel that if i can t be faithful in a little thing like this that it will be nearly impossible to tackle something bigger,1
i feel like i ve been rather distracted lately,3
i feel my lord has always prooved faithful to stand up for me given later situations,2
i left feeling so thankful for the blessing of family,1
ive been on this new path for a little less than a month already i still wake up every morning feeling amazed and blessed that i am officially a wahm,5
i know i won t last long being ambulatory i feel it even though i try to be as positive as i possibly can,1
i feel snobbish just reading that subject line,3
i don t ever feel any anxiety because i ve always been sociable on sites as long as i can remember,1
i hope to read this in the future and distinguish how i have grown from this stance insha allah but also if i feel like this again to understand that i should not feel disheartened because there is always a way out,0
i feel virtuous instead of ashamed for watching too much tv,1
i guess tom was feeling nostalgic,2
i feel like ive been rude or inconsiderate,3
i feel like shes so low and already dropped and braxton hicks are so frequent that i just know labor is soon,0
i feel for steve is not so much the loss of a doomed from the beginning relationship but mourning the loss of one more person discounting me,0
i feel pained when i read things about them on the internet yes i did my research to answer her questions,0
i arlovski on ufc win i feel really horrible a href http www,0
i feel like a lot of classes are the wimpy woman s workout,4
i am feeling all melancholy,0
i didnt feel special like anyone really even noticed me,1
i feel as though living in a house with precious babies should always afford something to write about,1
i took the phone under the covers feeling like a naughty teenager,2
i feel much less randomly hostile and my ups and downs have decreased significantly,3
i try to talk myself out of these feelings i tell myself i struggle too and ive fought by myself to get to this place but today i just feel the loss of my nephew and it makes everything about my life seem stupid and ridiculous,0
im already feeling shaky,4
i already feel blessed and am thankful with them in my life,1
i feel so dirty about myself,0
i have been very drawn to flap bags lately they allude this feeling of casual style but can still look incredibly stunning and pull an outfit together beautifully,1
i feel like weird is the new cool and creepy is the new weird,4
i feel pressured to stay well,4
i feel like i have missed out on a lot,0
i began to feel more homesick than i ever have,0
i say i feel insulted when my views about something i still am idealistic towards is being simplified,3
i abused myself for years with booze and though i feel disappointed that i drank i feel like it is time to stop with the self castigation,0
i feel your soul in mine calling for our beloved,1
i feeling thrilled with except with my own state of mind,1
i hope you are feeling more affectionate toward the divine comedy now,2
i didn t and it made me feel heartless,3
i finish this book i feel a longing to be in the mountains among simpler times a simpler setting and simply my family,2
i found the real world story more relatable and i feel thats where the movies real heart is but the expressiveness of the fantasy world story was just gorgeous,1
i woke up feeling like i productive since i had done pretty much nothing but drink and eat all weekend i really need to learn how to control myself on weekends,1
i wish i could say i feel more relaxed aware enlightened and whatever other things people say come from meditation,1
i am feeling paranoid,4
i cant imagine the feeling but i can try and i must say that this girl is brave,1
i was feeling quite disheartened about the day until just as i was getting off the matatu the guy who collects the money asked me if i was caroline,0
i can feel the tender skin heating up where his hand is certainly leaving a trail of bright red marks against my pale flesh,2
i feel incredibly triumphant,1
i wish i could zag but i feel really bad about the last time because raph missed his class for it,0
i feel bad for it since it is going to die,0
i woke up today feeling so disheartened annoyed angry disappointed etc,0
i feel completely inhibited,0
i have felt blue and a bit depressed before after we moved after big events when life suddenly feels empty but these pills were horrific,0
i have intuitively received all alchemical oils in this range and been on a journey into all sorts of disowned parts of me including feelings that i had repressed,0
i often feel like indies think they need to blow up smoke each others arses just to maintain the friendly tone but isnt it enough to wish each other well,1
i feel that i am discontent detached and disapointed often because my mind prefers continuity before satisfaction,0
i get this wierd feeling when i am going to sleep funny photo title i get this wierd feeling when i am going to sleep funny photo a title i get this wierd feeling when i am going to sleep href http www,5
i dusted off my yoga gear and got back on the mat and kind of got locked into down dog feeling how delicious it all was all stretchy and strong and whatnot,1
ive also made it with both sugar measurements but i feel like cup is just too sweet for me,1
i feel so useless all the time i know i ain t worth much but she s the only friend that i ever trusted,0
i couldn t understand what everyone was saying i didn t feel that shocked originally,5
im not necessarily going to say something negative about your father nevertheless could hardly support provide the clear feeling there genuinely wasnt considerably the girl liked either,2
i feel well large,1
i can start feeling nostalgic about it,2
i feel like i m being mentally and emotionally assaulted with something and i just wanted to write that down somewhere,4
i am done with everything i am done trying i am done feeling miserable,0
i feel safe when i m with you kind,1
i have myself a great tutor to teach me on magic cube and yesterday night i was feeling too thrilled when i finally managed to learn another new pattern to solve for magic cube signing off,1
i have trouble telling them that i miss them or like them or anything else i feel because i ve become so terrified of being vulnerable to people,4
i fast approach it feels like a friendly postcard from a far more innocent time,1
i am feeling cranky or angry just down and a little detached from everything,3
im feeling a bit lethargic this morning,0
i want to feel respected and even important to you,1
i forget that its ok to feel that way when being wronged,3
i desperately don t want to feel heartbroken every month,0
i was feeling creative and crafty so i personalized the insides adding moms my own little special touches to the a href http,1
i drive home i feel like a petty thief having just stolen the exposures crudely stuck in my camera from the ancients,3
i feel as though i am losing iq points and my intelligence is being insulted every time i hear these lame excuses,3
i feel like get smart when he walks through all those doors at full speed,1
i feel assured that the problem was with the publisher and not with our interpretation,1
i feel like they want it to be more indecisive,4
ive seen the truth i feel the pain why couldnt you be truthful to begin,1
i think about it i feel devastated but i cant bring myself to have to deal with emotions besides happiness these days somehow i manage to push every bad feeling to the back of my mind and it amazes me how long it can reside there,0
i feel awful about not working this summer im finally going to be able to get some real rest and put my feet up,0
i can feel the longing and anger i choose anger,2
i happen to be dynamic plus i truly feel so delighted,1
im left feeling like all my work was in vain,0
i was feeling lucky so i picked it,1
i have to admit it makes me feel a bit frightened and vulnerable to think that such a high percentage of those people who should be able to serve and protect if necessary are simply physically unable to do so,4
i feel helpless powerless,0
i allow myself to consider it i feel pathetic,0
i feel anything but pleased at their joy rain be damned,1
i told him i wasnt in a good place right now to be dating and i had feelings for someone else although im not really sure about that anymore i let him down as gently and truthfully as i could possibly think of,1
im somewhat in weight loss mode again im feeling impatient with it,3
i felt bad for calling warren a dick and i didnt want to hurt his feelings or make him think i hated him,3
im writing is dumb but dumb because i feel dumb for not knowing,0
i just feel like telling the world how vain i am,0
i filled my life with was actually feeling like being productive,1
i feel that he is still bitter that president obama beat him and now he had to watch as the president got re elected,3
i feel greedy and awful thinking that but at the same time i wish they had put some time and effort and thought into my gifts,3
i woke up because he turn the tv off and i watched it again but then i slept again and when i woke up this morning finding that they are lost i feel so shocked,5
i pray that i may feel sure that there is nothing that god cannot accomplish in changing my life,1
im feeling low i turn the volume up on by taylor swift or little talks by of monsters and men or only you by ellie goulding,0
i had anticipated feeling humiliated after climbing i only felt tired,0
i can be myself around him and he made me feel special somehow and one day ill know im going to miss him macam gila nanti,1
i feel pressure to be positive,1
im feeling awkward every time i start a photoshoot,0
i look forward to reading the rest of the wrong questions but im disappointed that this book left me feeling empty,0
i was failing to perform my expected duties and worrying about things i may have forgotten yesterday when i was starting to feel rather crappy,0
i knew his training had gone well and i knew that he was feeling confident going into the race,1
i feel so blessed and watched over,1
i feel sometimes we ooze sarcasm as a strange form of proof that we are content despite imperfect circumstances,4
i want to tell all my friends to tell me if theres anything i could do to help if theyre feeling stressed and in distress,3
i wonder then why i feel so discontent with this place,0
i just didnt feel as eager to read and not even the most emotional parts which in the previous book always made me shed a tear here and there werent as polished and to the point as before,1
i put them on i feel very cool,1
i get the feeling that he thought that was being clever,1
i value are my children educated is my husband happy are people feeling positive energy from me,1
i was left alone in the middle of downtown when i could barely stand straight with nobody by my side no money for i had spent it all on shots and a growing tingling feeling in the region of my stomach i wasnt very fond of,2
i find this the only way i can live and not feel punished for wanting a healthy marriage and family,0
i feel a bit stressed about the whole thing,3
i will most likely struggle because she knows that nick wants to marry her hes very open with his feelings if they are sincere whereas josh is much more closed off and doesnt offer his emotions as readily so shell worry that hes not ready for marriage,1
i was feeling rather bitter about things and wondering why heavenly father wasnt answering what i thought was a righteous desire and request,3
im one week in and feeling positive about all the good that will come from this,1
i read a book she would have loved and know i just have to send it to her and i feel surprised when i realize that i can t,5
im offered apples and oranges in which case itll come down to how im feeling at the time and if i can be bothered peeling the orange,3
i feel invigorated by the holy spirit to press on and go forward,1
i turn away thinking that god could not possibly know how i feel or how much i hurt,0
i was feeling easily agitated quite somber sad and i just wanted to be left alone,4
i feel really honoured to receive,1
i had lots of fun but i feel that im much more outgoing now and im excited to hopefully talk to and meet lots of interesting people,1
i try to tell myself when i notice myself feeling rushed stressed or busy again,3
i have been feeling quite irritable of late,3
i know how they feel because i was once punished for an act of rebellion,0
i feel very privileged d to have been able to visit and admire her beautiful dolls,1
i was feeling particularly horny after having had my nice dreams about anna and with the fantasy about lis et al still relatively fresh in my mind,2
i also looked for shoes that partially covered the toes at least so i could wear them about without feeling awkward,0
i think brazilians are feeling insulted to see that there was political will and large investments to construct big fifa quality soccer fields said antonio carlos costa a presbyterian pastor and leader of rio de paz a group that combats social inequalities in brazil,3
i said probably not but how ive loved weighing in on the options and giving my cents because i feel valued it reminds me of all the feelings i felt in preparation for my babies and its just fun,1
i was left feeling a bit angry and upset about the whole hollywood notion of aging and how it is handled,3
i laughed because yes i feel like im a damaged good with everything i do in the hospital and theres also paranoia to account for,0
i associate myself with that name i just feel numb,0
i would feel loved and not lonely and not in the way always feeling like i want to cry,2
i feel shamed using it in the shower because of how much water heat is wasted lets say a few seconds of wasted hot water during the shave,0
i don t mind nd anyway it makes me feel more submissive when im doing that,0
i feel like a lot has prompted to write this post but it was mostly a conversation with a friend who seemed more distressed than she led on that has me up in the middle of the night writing this blog,4
i know this sucky feeling will soon fade away cos i hated temasek sec when i was sec,0
i feel so proud of all the teachers and librarians like you who are out there every day connecting kids and books,1
i feel irritated and uncomfortable otherwise,3
i just feel like a whiney little girl sometimes and wanna cry to the world for what would make it better,0
i was going strong for three weeks eating well feeling satisfied and accomplished not suffering feelings of deprivation,1
i feel a little less innocent than i did yesterday,1
i feel like my son s shirt when he s missed the bottom button so the end result is that one side of the collar is higher than the other,0
i cant even begin to tell you guys how greatly humbled and honored i feel that so many truly talented bands even considered us and applied,1
i feel my kids have missed out on the blessing of growing up in need,0
i made a decision this morning that this stupid broken toe and a body that feels like i have been beaten with a ball bat is not going to slow me down,0
i feel wronged amp annoyed that i want to leave this establishment,3
i feel very irritable at times especially with inconsiderate people,3
i love her so much i almost started crying in the car on my way to work this morning thinking about how id feel this year when the holidays roll around amp we have our precious baby girl here with us,1
i feel accepted by each and every one of my peers,2
i was feeling a little casual yesterday,1
i feel so rebellious when people tell me bullshit like that,3
i don t feel so bad,0
i really did not enjoy feeling like a fake so coming clean about the fact that things went on in my life that i didnt share here finally makes me feel like im being real and honest with you all which is one of the things that ive always tried to do on my blog,0
i feel reassured not only in the words this man is joyfully speaking into my life but also an overwhelming assurance that my identity is still firmly rooted in the lord his plan and his truth more than anything else,1
i remember feeling numb i was listening to the doctor but i couldnt make it fit,0
i the only one that feels tortured inside my head,4
i appreciate constructive feedback so please feel free to interrogate my work ad comments as thoroughly as you desire,1
i feel disheartened honestly,0
i know it does make you feel insecure,4
im feeling so lethargic and these shows are keeping me amused,0
i am back in our comfortable home in timaru feeling a bit listless,0
im feeling quite determined to pass my assessment and kick ass at it,1
ill get to sleep in my favorite bed with my favourite plushie and i get to eat erkkis mums delicious spaghetti with cheese thingy i feel over exited and bouncy o,1
i feel it a bit messy and yes the bleeding does bother me slightly,0
i ran today and i feel less infuriated by everything so i guess its plausible or not whatever,3
i feel pain each time i take an innocent life,1
i usually recognize the lies because they leave me feeling hopeless and alone filled with anxiety,0
i feel like i have fucked up everything around me,3
i feel a little punished by this philosophy like last friday when at the library we played the same game with a rabbit and a octopus for two hours and ten minutes,0
the last time i felt sad and disappointed was when i did not do as well as i had hoped in one of the final exams as compared with the earlier exams,0
i always imagined myself to be one of those super cute and fashionable hollywood esque pregos well i hoped i would be anyway but how can i feel cute while feeling frumpy,1
i feel petty at times being so worried or asking for so much help,3
i feel assured that we are doing everything we can to help jake and hannah slow down the progression of this disease,1
i have a data point that may make you feel even more uncomfortable,4
i am not feeling submissive at this moment,0
i feel myself being agitated,4
i feel almost ashamed saying this but i ve never tried a href http www,0
i secretly feel unwelcome in most settings usually because im too catholic what,0
i feel like putting no heart into it sad sad sad can you feel it,0
i just forgotten there s a god thing in my life and i just tend to feel reluctant over doing things,4
i feel i am reassured and my faith is renewed,1
i was feeling pretty happy,1
i knew my true love would only feel heartbroken if i told him why i was leaving,0
i feel smug about my choice to avoid farm raised fish and then balk when their ocean caught cousins are above my price range,1
i landed i could feel myself getting anxious,4
im sure it will be fine for a few years or until im feeling rich and get a kona,1
i feel as if i have become more rebellious in some sense,3
i understood that our differences were skin deep and that we all wanted to belong and feel loved and have friends,2
i am not the type of individual that serves honesty with malice as i feel that takes away from the fact that you wear your heart on your sleeves and puts you in the bitchy category which is an unattractive quality,3
i was feeling on edge and i am often unsure of how hard i should be in our refinement workshops,4
i turn back to my book feel my body jerk again and like a neurotic prairie dog quickly peruse my environment for clues as to where i am and whether or not theres anything im supposed to do,4
i would just love if someone i had feelings for returned those feelings but the unfortunate philosophy ive had to deal with is theres always some better more attractive guy,0
i had a feeling that they thought i was a chomo and were pleasantly surprised that i wasn t one,5
i feel humiliated she tells kristy who rejects her on the a shot at love finale,0
i feel a sincere need to speak on this,1
i feel so excited about this come to homecoming wearing a dress from dressv and of course i will look so pretty hihi am i too much saying that i look pretty,1
i feel like i am worthless i am useless all i do is take care of my baby no adult interaction just me and the baby in front of the tv,0
im feeling so virtuous,1
i hate feeling blamed for crimes i know for a fact i didnt commit,0
i have a bad feeling but i was thrilled about it,1
i still cannot lock my guard nor do i feel comfortable doing so but with smart and same sized training partners ive done a surprising amount of jiu jitsu over the past months,1
i find myself feeling a bit melancholy morose even,0
i feel glares of discontent aimed at me,0
i feel annoyed and half hearted to answer that kind of question,3
i take life for granted and am constantly wanting more out of life and feel discontent with my life and too seldom i sit back and simply thank god that i have life,0
i ask you how can they feel virtuous if any members of their preferred victim groups learn to take responsibility for their own lives,1
i feel like a lot of us when we are impatient for god to move can make mistakes that delay or even thwart his best for us,3
i do this my whole posture changes my shoulders relax my head comes up i start noticing beautiful things around me and i feel calm and serene,1
im at a new stage in the process i cant help feeling somewhat frustrated with all of it,3
i feel very bouncy and excited,1
i do start to feel lousy is it from what i ate minutes ago or from what i ate yesterday,0
i feel like more of a cool kid and less like a loner this way img src http s,1
i have emotions and feelings and i cry when im hurt,0
i will concede that if i was unable to partake in perogies and cabbage rolls on christmas eve i would indeed be feeling a bit deprived as my friend suggested,0
i feel it assigns me a precious and sacred trust,1
i still feel abused by him especially since i dont have my brothers,0
i am feeling this craving because i want to get away from unpleasant feelings,0
i feel delicious like theres citrus coursing through my veins instead of blood,1
i still feel like he gave me hateful stupidity cooties by living in my neighbourhood,3
i didn t feel like a damaged woman with an incurable illness,0
ive got a off sale the ad says starting tomorrow but im feeling generous and started it now,2
i may be feeling listless lately,0
i feel so mellow and happy,1
i feel im in the creative flow again in a way i havent been in awhile,1
i kind of expected this to be honest and i know ive done it before and can do it again its just that im still feeling very homesick and very alone here,0
i feel its fine to just let it be,1
im afraid im not feeling very thankful this month,1
i forgive myself for accepting and allowing myself for compromising the living of words as whats best for life within allowing myself to place importance within my feelings in the moment as a point of accepted and allowed reaction,1
im so thankful that they are opinions that i feel so strongly about and that i can be proud of,1
i just feel like im in this kind of dazed trance where nothing really seems to get through to me,5
i feel like i was lucky like a four leaf clover,1
i feel dumb for ignoring him for the last few months,0
i feel nostalgic i love to bake it makes everything better,2
i feel as useless as a dead log in the woods rotting away,0
i also feel that i owe it to their beloved iron crews offering gratitude and appreciation to their continuous sacrifices as we chase down our dreams,1
i feel isolated bored and lonely,0
i am posting now and it feels wonderful,1
i genuinely feel horrible and have a sore tummy,0
i can only imagine how my parents feel to be shaken up with news like this on their first few days in china,4
id like to say i feel remorseful but i dont,0
i was still feeling really unsure how my body would respond,4
i feel like i get mad at my boyfriend too easily,3
i can feel the hot tears as they sting the back of my eyelids threatening to well up and spill over and i am beginning to realize that my reaching a breaking point is a very real possibility despite the promise i made to myself that going backwards was not an option,2
i feel a little bit like a whiney bitch right now,0
i do feel this book to be a bit strange i am definitely glad i took the time to read it,5
i comment someone i just feel that they should be considerate and comment back,1
i feel like i ve a body without any soul and i feel like i ve lost something i absolutely love,0
ive sat for out of of my papers and am feeling content with what ive done,1
i cant handle not knowing things or feeling like im stupid,0
i asked him how he was feeling and he said a little nervous,4
i remember feeling very isolated when our tim was so very young,0
i was blessed never to feel bitter never to dwell in anger,3
i feel that accessories are just more useful and people wont notice that you wear the same pieces days in a row,1
i feel the image is gentle to shoot pink lady made a big breakthrough when put on a rel nofollow href http www,2
i just feel a little fucked up about last night,3
im failing my quizzes coz i feel so disturbed,0
i feel like i can wear this as a casual outfit to the beach or something or dress it up with a belt jewelry heels and a blazer,1
i feel stressed because i m already worrying about the day i see him,0
i feel geniunely violent for no reason,3
i feel like i cant be bothered to recover recently like if i try not to b p i still end up doing it eventually,3
i don t know if you feel reassured validated or less alone when someone professes their likeness for you,1
i get the feeling that i shouldn t be putting words in all capitals but if i was doing that rest assured that the word huge from the previous sentence would be all up in your face with its hugeness,1
im feel especially affectionate toward and blessed by r shannon and the other close family friends who made my birthday very special,2
i am feeling stronger and keen to return to a normal life,1
i wish i could say this made me feel optimistic about the future of book reading for younger generations but the study doesn t seem to exclude books read for,1
i just feel so very very rotten and i let it bleed out into everything,0
i feel myself getting all stressed out i need to act more like a cat,0
i feel that ive become a little bit complacent is that i have done so well in the past two months,1
i feel unprotected or unsafe,4
i feel so alone on the friday nights a href http feuillesdemavie,0
i explained to richard that i was feeling really lousy after my run and that i wanted to get back and go to bed early,0
im realizing that shes feeling homesick too,0
i was feeling creative i see you alternate version of me,1
i think is a really cool name for a blog and always makes me feel terribly un clever about the name i chose ive considered changing my tag line to pissing off the internet one woman at a time but it still wouldnt be as cool and i digress,1
i feel unwelcome at home quite the opposite actually i just feel that after the required hugs and formalities everyone will be asking sooooo what now,0
i cant wait to stroll down the beach feeling comfortable with my body,1
im really trying to not let everything in me be sucked up into feeling hateful but damn its hard,3
i am so glad that my dad found a woman who loves and cherishes him for who he is and i do not feel threatened by his marriage to her at all,4
i feel an almost ferocious need to sleep at the moment,3
i feel so regret stupid deep down in my heart with my bahasa paper,0
i love my husband hamo and vahik more however i adore rafael when i see him i see a totally different person than vahik by looking at him he brings the same feelings so tender and sincere just like the one i felt looking in to my real father in law s eyes,2
i feel heartless and cold because i don t truly care deep inside about any of my classmates,3
i feel as if i am constantly reminded of our strange habits on an hourly basis,5
i cant quite remember its the strangest feeling i know this was something i smelt often as a child and it has an amazing ability to transport me to my childhood home,5
im feeling rather keen to give it a try myself,1
i really feel its benefiting my damaged hair and i hope with continued use it will help prevent breakage,0
i watch and listen to the holiday grow in magnitude the promotion the commercialism i feel contented with leaving it on the side and less conflicted,1
when my neighbours house was broken into and shots could be heard,4
i feel foolish about some of the things that worry me,0
i went with new frens and w so afraid i feel boring during the event,0
i feel almost resigned to being pulled under,0
i have got to be strict with myself but im allowing myself to have some small treats a kitkat if im feeling naughty,2
i didnt feel like i had to try to be someone i wasnt or hide who i really was to be accepted by her,2
i believe that police presence has massive power to set the tone for an event whether people feel frightened or relaxed respected or intimidated cooperative or aggressive,4
i feel like now that i m defective gt the knee he doesn t want me anymore what happened to in sickness and gt health,0
i feel it then that impatient desire to stretch out my hand and touch his warm skin,3
i was feeling brave again,1
i feel like fashion can clearly be an outlet for artistic expression,1
i don t know why i feel bashful addressing this but isn t this the crux of the novel,4
i feel troubled about how exactly i look,0
i keep coming to these points where ill just feel completely dissatisfied and upset,3
i feel hated my friend sean delated me as a friend,3
i couldn t see it what mirrors were present were saturated with crimson but i could feel that unpleasant sensation of hair sticking together,0
im feeling really grouchy now,3
i would not mind so much if i did not feel so terrible,0
i hate myself more for feeling this way this disgusted,3
i am feeling more eager than i have ever felt about any of my writings,1
i dislike big shows of masculinity for even more primal reasons because i see men asserting themselves as the dominant members of the tribe i feel intimidated but instead i translate that feeling into uncomfortableness or irritation or something like that,4
i feel furious at the havoc shes wrecked and that shes sitting on her ass still feeling sorry for herself,3
i made such perfect travel team i feel so glad to have met them,1
i feel all the more passionate about defending the second amendment,2
i was moving in the graveyard at pm one day and was griped by fear because i was told that ghosts detain people moving there at night,4
i told him he was being unfair and that the only pleasure i seek is from him and i feel unimportant to him and hurt when he denies me,0
im feeling emotionally drained,0
i feel distraught at the fact that i have to wait until january to see some fresh jake gyllenhaal meat,4
i can t help feeling that i would have liked it more if they had tried to make a museum for the people instead,2
i am feeling pretty terrific,1
i can feel her respond with an innocent childs smile,1
i gave her my entire heart and now im sitting here feeling like a fucking idiot because i honestly thought that she respected me and loved me,1
im feeling so ecstatic i am talking gibberish please pardon me,1
i only know that i want do something but i feel unsure to make it real,4
i cant even speak of feelings that i havent yet fully repressed because im afraid that itll change the way people see me,0
i going to figure out how to make this all feel worthwhile,1
i no longer feel deeply ashamed when i feed my babies in public while covering up as best as i can,0
i feel very honored to have my work featured in a stunning new international book called the new jewelers,1
i feel like you are really trying to tell me something that ive been fearful of hearing these last few years,4
i will get at the heart of the matter that you say you think with and feel from the heart that gives you all those emotions the source of your greatness of which you constantly remind me a heartless emotionally unavailable male,3
i think a lot of emotions had built up moving to seattle feeling useless austin leaving for days austin losing his ring and being pregnant,0
i am feeling very thankful and relieved,1
im here with a major im not sure i enjoy and am too scared to change for fear of making the wrong decision feeling dissatisfied fat and ugly,3
i still frequently feel helpless like im spinning out of control,4
i feel is a foolish and arrogant thing to do,0
i feel like i should be offended that i was left off the list considering i was also in the room and so was this blog,3
i feel overwhelmed as an option a way out of stress or poverty but it s fleeting and not because i want to more because i need to know i have options,4
i feel so indecisive what s new i got to start learning to be decisive,4
i feel more peaceful,1
i wish i could have done it differently and i feel that i was idiotic stupid and annoying,0
i avoid feeling utterly worthless if no one thinks im worth doing things for,0
i know that feeling assured wont earn me any paychecks,1
i feel such eagerness and pleasure in the last three days of school a time when teachers are dreaming of the summer lake and eager to live through a day without managing a group of unruly over energetic children,1
